Neighborhood,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,Foundation,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,SalePrice
5,7,2003,2003,1,196.0,2,856,1,4,856,1710,2,8,0,2003.0,2,548,2,208500
24,6,1976,1976,1,0.0,1,1262,1,4,1262,1262,2,6,1,1976.0,2,460,2,181500
5,7,2001,2002,1,162.0,2,920,1,4,920,1786,2,6,1,2001.0,2,608,2,223500
6,7,1915,1970,1,0.0,0,756,1,4,961,1717,1,7,1,1998.0,3,642,2,140000
15,8,2000,2000,1,350.0,2,1145,1,4,1145,2198,2,9,1,2000.0,3,836,2,250000
11,5,1993,1995,1,0.0,5,796,1,4,796,1362,1,5,0,1993.0,2,480,2,143000
21,8,2004,2005,1,186.0,2,1686,1,4,1694,1694,2,7,1,2004.0,2,636,2,307000
14,7,1973,1973,1,240.0,1,1107,1,4,1107,2090,2,7,2,1973.0,2,484,2,200000
17,7,1931,1950,1,0.0,0,952,1,1,1022,1774,2,8,2,1931.0,2,468,2,129900
3,5,1939,1950,1,0.0,0,991,1,4,1077,1077,1,5,2,1939.0,1,205,2,118000
19,5,1965,1965,3,0.0,1,1040,1,4,1040,1040,1,5,0,1965.0,1,384,2,129500
16,9,2005,2006,3,286.0,2,1175,1,4,1182,2324,3,11,2,2005.0,3,736,2,345000
19,5,1962,1962,3,0.0,1,912,1,4,912,912,1,4,0,1962.0,1,352,2,144000
5,7,2006,2007,1,306.0,2,1494,1,4,1494,1494,2,7,1,2006.0,3,840,2,279500
12,6,1960,1960,3,212.0,1,1253,1,4,1253,1253,1,5,1,1960.0,1,352,2,157000
3,7,1929,2001,1,0.0,0,832,1,0,854,854,1,5,0,1991.0,2,576,2,132000
12,6,1970,1970,1,180.0,1,1004,1,4,1004,1004,1,5,1,1970.0,2,480,2,149000
19,4,1967,1967,1,0.0,3,0,1,4,1296,1296,2,6,0,1967.0,2,516,2,90000
20,5,2004,2004,1,0.0,2,1114,1,4,1114,1114,1,6,0,2004.0,2,576,2,159000
