MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SalePrice
3,1,2,3,3,0,4,0,5,2,2,0,5,7,2003,2003,1,1,12,13,1,196.0,2,4,2,2,3,3,2,5,856,1,0,1,4,856,1710,2,2,8,6,0,5,1,2003.0,1,2,548,4,4,2,3,4,4,208500
3,1,2,3,3,0,2,0,24,1,2,0,2,6,1976,1976,1,1,8,8,2,0.0,3,4,1,2,3,1,0,5,1262,1,0,1,4,1262,1262,2,3,6,6,1,4,1,1976.0,1,2,460,4,4,2,3,4,4,181500
3,1,2,0,3,0,4,0,5,2,2,0,5,7,2001,2002,1,1,12,13,1,162.0,2,4,2,2,3,2,2,5,920,1,0,1,4,920,1786,2,2,6,6,1,4,1,2001.0,1,2,608,4,4,2,3,4,4,223500
3,1,2,0,3,0,0,0,6,2,2,0,5,7,1915,1970,1,1,13,15,2,0.0,3,4,0,3,1,3,0,5,756,1,2,1,4,961,1717,1,2,7,6,1,2,5,1998.0,2,3,642,4,4,2,3,4,4,140000
3,1,2,0,3,0,2,0,15,2,2,0,5,8,2000,2000,1,1,12,13,1,350.0,2,4,2,2,3,0,2,5,1145,1,0,1,4,1145,2198,2,2,9,6,1,4,1,2000.0,1,3,836,4,4,2,3,4,4,250000
3,1,2,0,3,0,4,0,11,2,2,0,0,5,1993,1995,1,1,12,13,2,0.0,3,4,5,2,3,3,2,5,796,1,0,1,4,796,1362,1,3,5,6,0,5,1,1993.0,2,2,480,4,4,2,3,2,2,143000
3,1,2,3,3,0,4,0,21,2,2,0,2,8,2004,2005,1,1,12,13,3,186.0,2,4,2,0,3,0,2,5,1686,1,0,1,4,1694,1694,2,2,7,6,1,2,1,2004.0,1,2,636,4,4,2,3,4,4,307000
3,1,2,0,3,0,0,0,14,4,2,0,5,7,1973,1973,1,1,6,6,3,240.0,3,4,1,2,3,2,0,1,1107,1,0,1,4,1107,2090,2,3,7,6,2,4,1,1973.0,1,2,484,4,4,2,3,4,2,200000
4,1,2,3,3,0,4,0,17,0,2,0,0,7,1931,1950,1,1,3,15,2,0.0,3,4,0,3,3,3,5,5,952,1,2,1,1,1022,1774,2,3,8,2,2,4,5,1931.0,2,2,468,1,4,2,3,4,4,129900
3,1,2,3,3,0,0,0,3,0,0,1,1,5,1939,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,2,5,991,1,0,1,4,1077,1077,1,3,5,6,2,4,1,1939.0,1,1,205,2,4,2,3,4,4,118000
3,1,2,3,3,0,4,0,19,2,2,0,2,5,1965,1965,3,1,6,6,2,0.0,3,4,1,3,3,3,4,5,1040,1,0,1,4,1040,1040,1,3,5,6,0,5,5,1965.0,2,1,384,4,4,2,3,4,4,129500
3,1,2,0,3,0,4,0,16,2,2,0,5,9,2005,2006,3,1,14,15,3,286.0,0,4,2,0,3,3,2,5,1175,1,0,1,4,1182,2324,3,0,11,6,2,2,3,2005.0,0,3,736,4,4,2,3,4,4,345000
3,1,2,1,3,0,4,0,19,2,2,0,2,5,1962,1962,3,1,6,10,2,0.0,3,4,1,3,3,3,0,5,912,1,4,1,4,912,912,1,3,4,6,0,5,5,1962.0,2,1,352,4,4,2,3,4,4,144000
3,1,2,0,3,0,4,0,5,2,2,0,2,7,2006,2007,1,1,12,13,3,306.0,2,4,2,2,3,0,5,5,1494,1,0,1,4,1494,1494,2,2,7,6,1,2,1,2006.0,1,3,840,4,4,2,3,4,4,279500
3,1,2,0,3,0,0,0,12,2,2,0,2,6,1960,1960,3,1,8,8,1,212.0,3,4,1,3,3,3,1,5,1253,1,4,1,4,1253,1253,1,3,5,6,1,1,1,1960.0,1,1,352,4,4,2,3,1,4,157000
4,1,2,3,3,0,0,0,3,2,2,0,1,7,1929,2001,1,1,13,14,2,0.0,3,4,0,3,3,3,5,5,832,1,0,1,0,854,854,1,3,5,6,0,5,5,1991.0,2,2,576,4,4,2,3,0,4,132000
3,1,2,0,3,0,1,0,12,2,2,0,2,6,1970,1970,1,1,13,14,1,180.0,3,4,1,3,3,3,0,5,1004,1,0,1,4,1004,1004,1,3,5,6,1,4,1,1970.0,0,2,480,4,4,2,3,4,2,149000
3,1,2,3,3,0,4,0,19,2,2,2,2,4,1967,1967,1,1,8,8,2,0.0,3,4,3,4,4,4,6,6,0,1,4,1,4,1296,1296,2,3,6,6,0,5,4,1967.0,2,2,516,4,4,2,3,4,2,90000
3,1,2,3,3,0,4,0,20,5,2,0,2,5,2004,2004,1,1,12,13,2,0.0,3,4,2,3,3,3,2,5,1114,1,0,1,4,1114,1114,1,2,6,6,0,5,5,2004.0,2,2,576,4,4,2,3,4,4,159000
3,1,2,3,3,0,4,0,12,2,2,0,2,5,1958,1965,3,1,3,10,2,0.0,3,4,1,3,3,3,3,5,1029,1,4,1,4,1339,1339,1,3,6,2,0,5,1,1958.0,2,1,294,4,4,2,3,2,4,139000
3,1,2,0,3,0,0,0,16,2,2,0,5,8,2005,2006,1,1,12,13,1,380.0,2,4,2,0,3,0,5,5,1158,1,0,1,4,1158,2376,3,2,9,6,1,2,3,2005.0,1,3,853,4,4,2,3,4,4,325300
4,1,0,3,0,0,4,0,9,2,2,0,1,7,1930,1950,1,1,13,14,2,0.0,3,4,2,3,3,3,5,5,637,1,0,1,1,1108,1108,1,2,6,6,1,2,1,1930.0,2,1,280,4,4,0,3,0,4,139400
